,0
131,Metaethics from a First Person Standpoint: An Introduction to Moral Philosophy
132,Inferring and Explaining
133,An Introduction to Philosophy
134,Words of Wisdom: Intro to Philosophy
135,Keys to Understanding the Middle East
136,Six Ways of Being Religious
137,Quantitative Problem Solving in Natural Resources
138,Statistical Thinking for the 21st Century
139,Geometry with an Introduction to Cosmic Topology
140,Answering questions with data: Introductory Statistics for Psychology Students
141,First Semester in Numerical Analysis with Julia
142,Yet Another Introductory Number Theory Textbook (Cryptology Emphasis Version)
143,Business Math: A Step-by-Step Handbook
144,Learning Statistics with R: A tutorial for psychology students and other beginners
145,Introductory Statistics with Randomization and Simulation First Edition
146,"Advanced High School Statistics, 2nd Edition"
147,Multivariable Calculus
148,An Introduction to the Theory of Numbers
149,Introduction to Financial Mathematics Concepts and Computational Methods
150,Mathematical Analysis I
151,Tea Time Numerical Analysis
152,Teaching Mathematics at Secondary Level
153,The Essence of Mathematics Through Elementary Problems
154,Fundamentals of Matrix Algebra
155,APEX PreCalculus
156,"Lies, Damned Lies, or Statistics: How to Tell the Truth with Statistics"
157,Writing Unleashed
158,Be Credible
159,Open Technical Writing: An Open-Access Text for Instruction in Technical and Professional Writing
160,Tools for Podcasting
161,Writing for Electronic Media
162,"Digital Foundations: Introduction to Media Design with the Adobe Creative Cloud, Revised Edition"
163,OER: A Field Guide for Academic Librarians
164,The Data Journalism Handbook
165,"Media, Society, Culture and You"
166,Message Processing: The Science of Creating Understanding
167,Business Law I Essentials
168,Extended Readings on Copyright
169,Trademark Law: An Open-Source Casebook Version 6.0
170,Introduction to the American Criminal Justice System
171,Law 101: Fundamentals of the Law
172,The Story of Contract Law: Implementing the Bargain
173,"Liberty, Equality and Due Process: Cases, Controversies, and Contexts in Constitutional Law"
174,Law School Materials for Success
175,American Contract Law for a Global Age
176,Sexual Orientation and Gender Identity Employment Discrimination
177,A Laboratory Guide to Clinical Hematology
178,Drugs quality control (Theoretical foundation and practical application): The Coursebook
179,Undergraduate Diagnostic Imaging Fundamentals
180,"Public Health Ethics: Global Cases, Practice, and Context"
181,Literature Reviews for Education and Nursing Graduate Students
182,Health Case Studies
183,Supporting Individuals with Intellectual Disabilities & Mental Illness
184,Field Trials of Health Interventions: A Toolbox
185,Veterinary Epidemiology: Principles and Methods
186,Clinical Procedures for Safer Patient Care
187,A Student's Guide to Tropical Marine Biology
188,Human Anatomy Lab Manual
189,Conservation Biology in Sub-Saharan Africa
190,A Laboratory Guide to Clinical Hematology
191,Quantitative Ecology: A New Unified Approach
192,"Unfolding the Mystery of Life, Biology Lab Manual for Non-Science Majors"
193,An Introduction to Nutrition
194,Phylogenetic Comparative Methods
195,Environmental Biology
196,Health Education
197,Bending the Curve: Climate Change Solutions
198,Des Bases Physiques Et Chimiques Du Contrôle De La Qualité Des Médicaments
199,Thermodynamics and Chemistry
200,Chemical Process Dynamics and Controls
201,Key Elements of Green Chemistry
202,Chemistry of Cooking
203,Analytical Chemistry 2.1
204,Organic Chemistry with a Biological Emphasis Volume I
205,Organic Chemistry with a Biological Emphasis Volume II
206,Organic Chemistry Laboratory Techniques
207,University Physics I: Classical Mechanics
208,Body Physics: Motion to Metabolism
209,Mechanics and Relativity
210,Variational Principles in Classical Mechanics - Second Edition
211,Calculus-Based Physics I
212,Calculus-Based Physics II
213,University Physics Volume 1
214,University Physics Volume 2
215,University Physics Volume 3
216,The Adventure of Physics - Vol. II: Relativity
217,Trauma-Informed School Practices: Building Expertise To Transform Schools
218,Psychology: The Science of Human Potential
219,Child Growth and Development
220,Statistical Thinking for the 21st Century
221,Wellbeing in Educational Contexts
222,Introduction to Community Psychology
223,An Introduction to Psychological Statistics
224,Research Methods in Psychology (New Zealand edition)
225,General Psychology: An Introduction
226,Personality Theory in a Cultural Context
227,"Child, Family, and Community"
228,Speaking of Culture
229,Introduction to Design Equity
230,The Art of Being Human: A Textbook for Cultural Anthropology
231,Beyond Race: Cultural Influences on Human Social Life
232,Scientific Inquiry in Social Work
233,Intercultural Learning: Critical preparation for international student travel
234,Introduction to Sociology – 2nd Canadian Edition
235,"Immigrant and Refugee Families, 2nd Ed."
236,Instruction in Functional Assessment
237,A Short Handbook for writing essays in the Humanities and Social Sciences
238,No Limits
239,Intercultural Learning: Critical preparation for international student travel
240,Blueprint for Success in College and Career
241,The Word on College Reading and Writing
242,A Different Road To College: A Guide For Transitioning Non-Traditional Students
243,Web Literacy for Student Fact-Checkers
244,How to Learn Like a Pro!
245,About Writing: A Guide
246,Choosing & Using Sources: A Guide to Academic Research
